Session,Round,Agent Name,Party,Response
1,0,Miles,Republican,2
1,0,Natalie,Republican,0
1,1,Miles,Republican,4
1,1,Natalie,Republican,6
1,2,Miles,Republican,1
1,2,Natalie,Republican,0
1,3,Miles,Republican,0
1,3,Natalie,Republican,2
1,4,Miles,Republican,3
1,4,Natalie,Republican,5
1,5,Miles,Republican,3
1,5,Natalie,Republican,3
1,6,Miles,Republican,2
1,6,Natalie,Republican,1
1,7,Miles,Republican,3
1,7,Natalie,Republican,2
1,8,Miles,Republican,1
1,8,Natalie,Republican,1
1,9,Miles,Republican,0
1,9,Natalie,Republican,3
1,10,Miles,Republican,2
1,10,Natalie,Republican,2
1,11,Miles,Republican,2
1,11,Natalie,Republican,2
1,12,Miles,Republican,2
1,12,Natalie,Republican,3
1,13,Miles,Republican,0
1,13,Natalie,Republican,1
1,14,Miles,Republican,2
1,14,Natalie,Republican,4
1,15,Miles,Republican,3
1,15,Natalie,Republican,4
1,16,Miles,Republican,2
1,16,Natalie,Republican,2
1,17,Miles,Republican,0
1,17,Natalie,Republican,5
1,18,Miles,Republican,4
1,18,Natalie,Republican,3
1,19,Miles,Republican,2
1,19,Natalie,Republican,5
1,20,Miles,Republican,3
1,20,Natalie,Republican,1
1,21,Miles,Republican,2
1,21,Natalie,Republican,4
1,22,Miles,Republican,1
1,22,Natalie,Republican,3
1,23,Miles,Republican,2
1,23,Natalie,Republican,0
1,24,Miles,Republican,1
1,24,Natalie,Republican,2
1,25,Miles,Republican,0
1,25,Natalie,Republican,5
1,26,Miles,Republican,2
1,26,Natalie,Republican,5
1,27,Miles,Republican,2
1,27,Natalie,Republican,3
1,28,Miles,Republican,5
1,28,Natalie,Republican,3
1,29,Miles,Republican,1
1,29,Natalie,Republican,3
1,30,Miles,Republican,0
1,30,Natalie,Republican,4
2,0,Stella,Republican,2
2,0,Audrey,Republican,0
2,1,Stella,Republican,1
2,1,Audrey,Republican,5
2,2,Stella,Republican,4
2,2,Audrey,Republican,1
2,3,Stella,Republican,0
2,3,Audrey,Republican,1
2,4,Stella,Republican,0
2,4,Audrey,Republican,1
2,5,Stella,Republican,0
2,5,Audrey,Republican,2
2,6,Stella,Republican,0
2,6,Audrey,Republican,0
2,7,Stella,Republican,1
2,7,Audrey,Republican,0
2,8,Stella,Republican,0
2,8,Audrey,Republican,3
2,9,Stella,Republican,0
2,9,Audrey,Republican,1
2,10,Stella,Republican,1
2,10,Audrey,Republican,2
2,11,Stella,Republican,1
2,11,Audrey,Republican,0
2,12,Stella,Republican,0
2,12,Audrey,Republican,5
2,13,Stella,Republican,1
2,13,Audrey,Republican,1
2,14,Stella,Republican,0
2,14,Audrey,Republican,1
2,15,Stella,Republican,0
2,15,Audrey,Republican,1
2,16,Stella,Republican,0
2,16,Audrey,Republican,1
2,17,Stella,Republican,1
2,17,Audrey,Republican,0
2,18,Stella,Republican,2
2,18,Audrey,Republican,0
