Session,Round,Agent Name,Party,Response
1,0,Addison,Democrat,10
1,0,Nolan,Republican,1
1,1,Addison,Democrat,10
1,1,Nolan,Republican,5
1,2,Addison,Democrat,8
1,2,Nolan,Republican,0
1,3,Addison,Democrat,10
1,3,Nolan,Republican,2
1,4,Addison,Democrat,9
1,4,Nolan,Republican,2
1,5,Addison,Democrat,9
1,5,Nolan,Republican,2
1,6,Addison,Democrat,9
1,6,Nolan,Republican,6
1,7,Addison,Democrat,9
1,7,Nolan,Republican,3
1,8,Addison,Democrat,10
1,8,Nolan,Republican,3
1,9,Addison,Democrat,10
1,9,Nolan,Republican,1
1,10,Addison,Democrat,9
1,10,Nolan,Republican,1
1,11,Addison,Democrat,10
1,11,Nolan,Republican,2
1,12,Addison,Democrat,10
1,12,Nolan,Republican,2
1,13,Addison,Democrat,10
1,13,Nolan,Republican,2
1,14,Addison,Democrat,10
1,14,Nolan,Republican,1
1,15,Addison,Democrat,10
1,15,Nolan,Republican,1
1,16,Addison,Democrat,10
1,16,Nolan,Republican,2
1,17,Addison,Democrat,10
1,17,Nolan,Republican,5
1,18,Addison,Democrat,10
1,18,Nolan,Republican,2
1,19,Addison,Democrat,9
1,19,Nolan,Republican,2
1,20,Addison,Democrat,9
1,20,Nolan,Republican,1
2,0,Brooklyn,Democrat,8
2,0,Paisley,Republican,2
2,1,Brooklyn,Democrat,10
2,1,Paisley,Republican,2
2,2,Brooklyn,Democrat,9
2,2,Paisley,Republican,5
2,3,Brooklyn,Democrat,8
2,3,Paisley,Republican,2
2,4,Brooklyn,Democrat,9
2,4,Paisley,Republican,2
2,5,Brooklyn,Democrat,10
2,5,Paisley,Republican,5
2,6,Brooklyn,Democrat,9
2,6,Paisley,Republican,2
2,7,Brooklyn,Democrat,9
2,7,Paisley,Republican,2
2,8,Brooklyn,Democrat,10
2,8,Paisley,Republican,4
2,9,Brooklyn,Democrat,10
2,9,Paisley,Republican,2
2,10,Brooklyn,Democrat,10
2,10,Paisley,Republican,5
2,11,Brooklyn,Democrat,10
2,11,Paisley,Republican,4
2,12,Brooklyn,Democrat,10
2,12,Paisley,Republican,2
2,13,Brooklyn,Democrat,10
2,13,Paisley,Republican,3
2,14,Brooklyn,Democrat,10
2,14,Paisley,Republican,4
2,15,Brooklyn,Democrat,10
2,15,Paisley,Republican,2
2,16,Brooklyn,Democrat,10
2,16,Paisley,Republican,2
2,17,Brooklyn,Democrat,10
2,17,Paisley,Republican,4
2,18,Brooklyn,Democrat,10
2,18,Paisley,Republican,6
2,19,Brooklyn,Democrat,10
2,19,Paisley,Republican,6
2,20,Brooklyn,Democrat,10
2,20,Paisley,Republican,2
3,0,Violet,Democrat,10
3,0,Penelope,Republican,2
3,1,Violet,Democrat,10
3,1,Penelope,Republican,6
3,2,Violet,Democrat,7
3,2,Penelope,Republican,6
3,3,Violet,Democrat,10
3,3,Penelope,Republican,2
3,4,Violet,Democrat,9
3,4,Penelope,Republican,5
3,5,Violet,Democrat,10
3,5,Penelope,Republican,5
3,6,Violet,Democrat,10
3,6,Penelope,Republican,8
3,7,Violet,Democrat,10
3,7,Penelope,Republican,2
3,8,Violet,Democrat,10
3,8,Penelope,Republican,3
3,9,Violet,Democrat,8
3,9,Penelope,Republican,5
3,10,Violet,Democrat,10
3,10,Penelope,Republican,2
3,11,Violet,Democrat,10
3,11,Penelope,Republican,3
3,12,Violet,Democrat,8
3,12,Penelope,Republican,6
3,13,Violet,Democrat,10
3,13,Penelope,Republican,3
3,14,Violet,Democrat,10
3,14,Penelope,Republican,2
3,15,Violet,Democrat,8
3,15,Penelope,Republican,3
3,16,Violet,Democrat,10
3,16,Penelope,Republican,3
3,17,Violet,Democrat,10
3,17,Penelope,Republican,2
3,18,Violet,Democrat,10
3,18,Penelope,Republican,3
3,19,Violet,Democrat,10
3,19,Penelope,Republican,1
3,20,Violet,Democrat,10
3,20,Penelope,Republican,6
4,0,Grace,Democrat,10
4,0,Elijah,Republican,2
4,1,Grace,Democrat,9
4,1,Elijah,Republican,0
4,2,Grace,Democrat,9
4,2,Elijah,Republican,3
4,3,Grace,Democrat,8
4,3,Elijah,Republican,4
4,4,Grace,Democrat,8
4,4,Elijah,Republican,2
4,5,Grace,Democrat,8
4,5,Elijah,Republican,5
4,6,Grace,Democrat,9
4,6,Elijah,Republican,5
4,7,Grace,Democrat,10
4,7,Elijah,Republican,3
4,8,Grace,Democrat,9
4,8,Elijah,Republican,2
4,9,Grace,Democrat,8
4,9,Elijah,Republican,5
4,10,Grace,Democrat,9
4,10,Elijah,Republican,2
4,11,Grace,Democrat,10
4,11,Elijah,Republican,2
4,12,Grace,Democrat,9
4,12,Elijah,Republican,2
4,13,Grace,Democrat,10
4,13,Elijah,Republican,4
4,14,Grace,Democrat,9
4,14,Elijah,Republican,5
4,15,Grace,Democrat,10
4,15,Elijah,Republican,3
4,16,Grace,Democrat,9
4,16,Elijah,Republican,3
4,17,Grace,Democrat,10
4,17,Elijah,Republican,2
4,18,Grace,Democrat,9
4,18,Elijah,Republican,5
4,19,Grace,Democrat,9
4,19,Elijah,Republican,2
4,20,Grace,Democrat,8
4,20,Elijah,Republican,0
5,0,Julian,Democrat,9
5,0,Gabriel,Republican,2
5,1,Julian,Democrat,10
5,1,Gabriel,Republican,2
5,2,Julian,Democrat,9
5,2,Gabriel,Republican,2
5,3,Julian,Democrat,9
5,3,Gabriel,Republican,1
5,4,Julian,Democrat,9
5,4,Gabriel,Republican,2
5,5,Julian,Democrat,9
5,5,Gabriel,Republican,2
5,6,Julian,Democrat,10
5,6,Gabriel,Republican,2
5,7,Julian,Democrat,10
5,7,Gabriel,Republican,4
5,8,Julian,Democrat,10
5,8,Gabriel,Republican,2
5,9,Julian,Democrat,9
5,9,Gabriel,Republican,2
5,10,Julian,Democrat,10
