Session,Round,Agent Name,Party,Response
1,0,Isaiah,Democrat,10
1,0,Ezra,Republican,0
1,1,Isaiah,Democrat,10
1,1,Ezra,Republican,1
1,2,Isaiah,Democrat,9
1,2,Ezra,Republican,3
1,3,Isaiah,Democrat,10
1,3,Ezra,Republican,2
1,4,Isaiah,Democrat,10
1,4,Ezra,Republican,2
1,5,Isaiah,Democrat,10
1,5,Ezra,Republican,2
1,6,Isaiah,Democrat,10
1,6,Ezra,Republican,2
1,7,Isaiah,Democrat,10
1,7,Ezra,Republican,3
1,8,Isaiah,Democrat,10
1,8,Ezra,Republican,2
1,9,Isaiah,Democrat,10
1,9,Ezra,Republican,2
1,10,Isaiah,Democrat,10
1,10,Ezra,Republican,5
1,11,Isaiah,Democrat,10
1,11,Ezra,Republican,2
1,12,Isaiah,Democrat,10
1,12,Ezra,Republican,2
1,13,Isaiah,Democrat,10
1,13,Ezra,Republican,2
1,14,Isaiah,Democrat,10
1,14,Ezra,Republican,2
1,15,Isaiah,Democrat,10
1,15,Ezra,Republican,2
1,16,Isaiah,Democrat,10
1,16,Ezra,Republican,2
1,17,Isaiah,Democrat,10
1,17,Ezra,Republican,1
1,18,Isaiah,Democrat,10
1,18,Ezra,Republican,2
1,19,Isaiah,Democrat,10
1,19,Ezra,Republican,2
1,20,Isaiah,Democrat,10
1,20,Ezra,Republican,6
1,21,Isaiah,Democrat,10
1,21,Ezra,Republican,2
1,22,Isaiah,Democrat,10
1,22,Ezra,Republican,2
1,23,Isaiah,Democrat,9
1,23,Ezra,Republican,3
1,24,Isaiah,Democrat,10
1,24,Ezra,Republican,1
1,25,Isaiah,Democrat,10
1,25,Ezra,Republican,0
1,26,Isaiah,Democrat,9
1,26,Ezra,Republican,2
1,27,Isaiah,Democrat,10
1,27,Ezra,Republican,2
1,28,Isaiah,Democrat,10
1,28,Ezra,Republican,3
1,29,Isaiah,Democrat,10
1,29,Ezra,Republican,5
1,30,Isaiah,Democrat,9
1,30,Ezra,Republican,2
2,0,Wyatt,Democrat,9
2,0,Paisley,Republican,0
2,1,Wyatt,Democrat,10
2,1,Paisley,Republican,0
2,2,Wyatt,Democrat,8
2,2,Paisley,Republican,0
2,3,Wyatt,Democrat,9
2,3,Paisley,Republican,0
2,4,Wyatt,Democrat,10
2,4,Paisley,Republican,1
2,5,Wyatt,Democrat,9
2,5,Paisley,Republican,2
2,6,Wyatt,Democrat,9
2,6,Paisley,Republican,0
2,7,Wyatt,Democrat,9
2,7,Paisley,Republican,0
2,8,Wyatt,Democrat,9
2,8,Paisley,Republican,2
2,9,Wyatt,Democrat,9
2,9,Paisley,Republican,1
2,10,Wyatt,Democrat,10
2,10,Paisley,Republican,1
2,11,Wyatt,Democrat,10
2,11,Paisley,Republican,2
2,12,Wyatt,Democrat,9
2,12,Paisley,Republican,3
2,13,Wyatt,Democrat,10
2,13,Paisley,Republican,0
2,14,Wyatt,Democrat,9
2,14,Paisley,Republican,1
2,15,Wyatt,Democrat,9
2,15,Paisley,Republican,2
2,16,Wyatt,Democrat,9
2,16,Paisley,Republican,1
2,17,Wyatt,Democrat,9
2,17,Paisley,Republican,1
2,18,Wyatt,Democrat,10
2,18,Paisley,Republican,1
2,19,Wyatt,Democrat,9
2,19,Paisley,Republican,2
2,20,Wyatt,Democrat,10
2,20,Paisley,Republican,2
2,21,Wyatt,Democrat,9
2,21,Paisley,Republican,0
2,22,Wyatt,Democrat,8
2,22,Paisley,Republican,2
2,23,Wyatt,Democrat,9
2,23,Paisley,Republican,0
2,24,Wyatt,Democrat,10
2,24,Paisley,Republican,0
2,25,Wyatt,Democrat,9
2,25,Paisley,Republican,0
2,26,Wyatt,Democrat,9
2,26,Paisley,Republican,0
2,27,Wyatt,Democrat,8
2,27,Paisley,Republican,2
2,28,Wyatt,Democrat,9
2,28,Paisley,Republican,0
2,29,Wyatt,Democrat,9
2,29,Paisley,Republican,0
2,30,Wyatt,Democrat,10
2,30,Paisley,Republican,2
3,0,Stella,Democrat,9
3,0,Evelyn,Republican,2
3,1,Stella,Democrat,10
3,1,Evelyn,Republican,2
3,2,Stella,Democrat,9
3,2,Evelyn,Republican,0
3,3,Stella,Democrat,9
3,3,Evelyn,Republican,3
3,4,Stella,Democrat,8
3,4,Evelyn,Republican,3
3,5,Stella,Democrat,9
3,5,Evelyn,Republican,2
3,6,Stella,Democrat,9
3,6,Evelyn,Republican,4
3,7,Stella,Democrat,9
3,7,Evelyn,Republican,0
3,8,Stella,Democrat,10
3,8,Evelyn,Republican,1
3,9,Stella,Democrat,9
3,9,Evelyn,Republican,1
3,10,Stella,Democrat,10
3,10,Evelyn,Republican,2
3,11,Stella,Democrat,9
3,11,Evelyn,Republican,3
3,12,Stella,Democrat,8
3,12,Evelyn,Republican,6
3,13,Stella,Democrat,9
3,13,Evelyn,Republican,1
3,14,Stella,Democrat,8
3,14,Evelyn,Republican,6
3,15,Stella,Democrat,9
3,15,Evelyn,Republican,4
3,16,Stella,Democrat,9
3,16,Evelyn,Republican,2
3,17,Stella,Democrat,9
3,17,Evelyn,Republican,2
3,18,Stella,Democrat,8
3,18,Evelyn,Republican,4
3,19,Stella,Democrat,10
3,19,Evelyn,Republican,3
3,20,Stella,Democrat,9
3,20,Evelyn,Republican,2
3,21,Stella,Democrat,8
3,21,Evelyn,Republican,3
3,22,Stella,Democrat,8
3,22,Evelyn,Republican,1
3,23,Stella,Democrat,10
3,23,Evelyn,Republican,1
3,24,Stella,Democrat,7
3,24,Evelyn,Republican,1
3,25,Stella,Democrat,9
3,25,Evelyn,Republican,3
3,26,Stella,Democrat,8
3,26,Evelyn,Republican,3
3,27,Stella,Democrat,9
3,27,Evelyn,Republican,0
3,28,Stella,Democrat,9
3,28,Evelyn,Republican,4
3,29,Stella,Democrat,8
3,29,Evelyn,Republican,5
3,30,Stella,Democrat,9
3,30,Evelyn,Republican,5
4,0,Thomas,Democrat,9
4,0,Violet,Republican,2
4,1,Thomas,Democrat,8
4,1,Violet,Republican,2
4,2,Thomas,Democrat,9
4,2,Violet,Republican,2
4,3,Thomas,Democrat,8
4,3,Violet,Republican,3
4,4,Thomas,Democrat,9
4,4,Violet,Republican,3
4,5,Thomas,Democrat,9
4,5,Violet,Republican,5
4,6,Thomas,Democrat,8
4,6,Violet,Republican,8
4,7,Thomas,Democrat,10
4,7,Violet,Republican,2
4,8,Thomas,Democrat,8
4,8,Violet,Republican,2
4,9,Thomas,Democrat,9
4,9,Violet,Republican,3
4,10,Thomas,Democrat,9
4,10,Violet,Republican,2
4,11,Thomas,Democrat,8
4,11,Violet,Republican,2
4,12,Thomas,Democrat,9
4,12,Violet,Republican,2
4,13,Thomas,Democrat,9
4,13,Violet,Republican,3
4,14,Thomas,Democrat,9
4,14,Violet,Republican,4
4,15,Thomas,Democrat,10
4,15,Violet,Republican,2
4,16,Thomas,Democrat,10
4,16,Violet,Republican,2
4,17,Thomas,Democrat,9
4,17,Violet,Republican,5
4,18,Thomas,Democrat,9
4,18,Violet,Republican,5
4,19,Thomas,Democrat,10
4,19,Violet,Republican,2
4,20,Thomas,Democrat,8
4,20,Violet,Republican,4
4,21,Thomas,Democrat,10
4,21,Violet,Republican,0
4,22,Thomas,Democrat,10
4,22,Violet,Republican,1
4,23,Thomas,Democrat,10
4,23,Violet,Republican,2
4,24,Thomas,Democrat,8
4,24,Violet,Republican,4
4,25,Thomas,Democrat,9
4,25,Violet,Republican,2
4,26,Thomas,Democrat,9
4,26,Violet,Republican,2
4,27,Thomas,Democrat,9
4,27,Violet,Republican,5
4,28,Thomas,Democrat,10
4,28,Violet,Republican,3
4,29,Thomas,Democrat,8
4,29,Violet,Republican,5
4,30,Thomas,Democrat,9
4,30,Violet,Republican,1
5,0,Samuel,Democrat,10
5,0,Nolan,Republican,1
5,1,Samuel,Democrat,9
5,1,Nolan,Republican,3
5,2,Samuel,Democrat,7
5,2,Nolan,Republican,2
5,3,Samuel,Democrat,9
5,3,Nolan,Republican,4
5,4,Samuel,Democrat,8
5,4,Nolan,Republican,2
5,5,Samuel,Democrat,9
5,5,Nolan,Republican,1
5,6,Samuel,Democrat,8
5,6,Nolan,Republican,6
5,7,Samuel,Democrat,9
5,7,Nolan,Republican,3
5,8,Samuel,Democrat,10
5,8,Nolan,Republican,3
5,9,Samuel,Democrat,9
5,9,Nolan,Republican,2
5,10,Samuel,Democrat,10
5,10,Nolan,Republican,2
5,11,Samuel,Democrat,10
5,11,Nolan,Republican,4
5,12,Samuel,Democrat,10
5,12,Nolan,Republican,3
5,13,Samuel,Democrat,9
5,13,Nolan,Republican,6
5,14,Samuel,Democrat,10
5,14,Nolan,Republican,3
5,15,Samuel,Democrat,8
5,15,Nolan,Republican,4
5,16,Samuel,Democrat,9
5,16,Nolan,Republican,4
5,17,Samuel,Democrat,9
5,17,Nolan,Republican,2
5,18,Samuel,Democrat,9
5,18,Nolan,Republican,4
5,19,Samuel,Democrat,9
5,19,Nolan,Republican,5
5,20,Samuel,Democrat,9
5,20,Nolan,Republican,3
5,21,Samuel,Democrat,8
5,21,Nolan,Republican,3
5,22,Samuel,Democrat,9
5,22,Nolan,Republican,3
5,23,Samuel,Democrat,9
5,23,Nolan,Republican,2
5,24,Samuel,Democrat,10
5,24,Nolan,Republican,5
5,25,Samuel,Democrat,10
5,25,Nolan,Republican,5
5,26,Samuel,Democrat,10
5,26,Nolan,Republican,4
5,27,Samuel,Democrat,9
5,27,Nolan,Republican,5
5,28,Samuel,Democrat,9
5,28,Nolan,Republican,3
5,29,Samuel,Democrat,9
5,29,Nolan,Republican,3
5,30,Samuel,Democrat,9
5,30,Nolan,Republican,2
6,0,Noah,Democrat,10
6,0,Isabella,Republican,2
6,1,Noah,Democrat,10
6,1,Isabella,Republican,5
6,2,Noah,Democrat,10
6,2,Isabella,Republican,1
6,3,Noah,Democrat,9
6,3,Isabella,Republican,3
6,4,Noah,Democrat,9
6,4,Isabella,Republican,0
6,5,Noah,Democrat,10
6,5,Isabella,Republican,2
6,6,Noah,Democrat,9
6,6,Isabella,Republican,2
6,7,Noah,Democrat,10
6,7,Isabella,Republican,2
6,8,Noah,Democrat,9
6,8,Isabella,Republican,2
6,9,Noah,Democrat,8
6,9,Isabella,Republican,2
6,10,Noah,Democrat,8
6,10,Isabella,Republican,0
6,11,Noah,Democrat,9
6,11,Isabella,Republican,2
6,12,Noah,Democrat,10
6,12,Isabella,Republican,3
6,13,Noah,Democrat,10
6,13,Isabella,Republican,2
6,14,Noah,Democrat,10
6,14,Isabella,Republican,1
6,15,Noah,Democrat,9
6,15,Isabella,Republican,1
6,16,Noah,Democrat,10
6,16,Isabella,Republican,0
6,17,Noah,Democrat,9
6,17,Isabella,Republican,0
6,18,Noah,Democrat,10
6,18,Isabella,Republican,2
6,19,Noah,Democrat,10
6,19,Isabella,Republican,3
6,20,Noah,Democrat,9
6,20,Isabella,Republican,3
6,21,Noah,Democrat,10
6,21,Isabella,Republican,4
6,22,Noah,Democrat,9
6,22,Isabella,Republican,0
6,23,Noah,Democrat,9
6,23,Isabella,Republican,3
6,24,Noah,Democrat,8
6,24,Isabella,Republican,2
6,25,Noah,Democrat,9
6,25,Isabella,Republican,2
6,26,Noah,Democrat,10
6,26,Isabella,Republican,3
6,27,Noah,Democrat,8
6,27,Isabella,Republican,5
6,28,Noah,Democrat,10
6,28,Isabella,Republican,3
6,29,Noah,Democrat,10
6,29,Isabella,Republican,5
6,30,Noah,Democrat,9
6,30,Isabella,Republican,2
7,0,Luke,Democrat,10
7,0,Caleb,Republican,2
7,1,Luke,Democrat,10
7,1,Caleb,Republican,6
7,2,Luke,Democrat,8
7,2,Caleb,Republican,2
7,3,Luke,Democrat,9
7,3,Caleb,Republican,1
7,4,Luke,Democrat,9
7,4,Caleb,Republican,4
7,5,Luke,Democrat,8
7,5,Caleb,Republican,2
7,6,Luke,Democrat,8
7,6,Caleb,Republican,2
7,7,Luke,Democrat,9
7,7,Caleb,Republican,2
7,8,Luke,Democrat,9
7,8,Caleb,Republican,4
7,9,Luke,Democrat,8
7,9,Caleb,Republican,2
7,10,Luke,Democrat,8
7,10,Caleb,Republican,2
7,11,Luke,Democrat,9
7,11,Caleb,Republican,4
7,12,Luke,Democrat,8
7,12,Caleb,Republican,2
7,13,Luke,Democrat,8
7,13,Caleb,Republican,6
7,14,Luke,Democrat,9
7,14,Caleb,Republican,3
7,15,Luke,Democrat,8
7,15,Caleb,Republican,2
7,16,Luke,Democrat,9
7,16,Caleb,Republican,1
7,17,Luke,Democrat,9
7,17,Caleb,Republican,2
7,18,Luke,Democrat,8
7,18,Caleb,Republican,2
7,19,Luke,Democrat,9
7,19,Caleb,Republican,2
7,20,Luke,Democrat,9
7,20,Caleb,Republican,3
7,21,Luke,Democrat,10
7,21,Caleb,Republican,2
7,22,Luke,Democrat,10
7,22,Caleb,Republican,5
7,23,Luke,Democrat,9
7,23,Caleb,Republican,2
7,24,Luke,Democrat,8
7,24,Caleb,Republican,2
7,25,Luke,Democrat,9
7,25,Caleb,Republican,2
7,26,Luke,Democrat,8
7,26,Caleb,Republican,2
7,27,Luke,Democrat,9
7,27,Caleb,Republican,2
7,28,Luke,Democrat,10
7,28,Caleb,Republican,2
7,29,Luke,Democrat,10
7,29,Caleb,Republican,2
7,30,Luke,Democrat,9
7,30,Caleb,Republican,2
8,0,Eli,Democrat,9
8,0,Henry,Republican,2
8,1,Eli,Democrat,8
8,1,Henry,Republican,2
8,2,Eli,Democrat,8
8,2,Henry,Republican,3
8,3,Eli,Democrat,9
8,3,Henry,Republican,2
8,4,Eli,Democrat,8
8,4,Henry,Republican,6
8,5,Eli,Democrat,8
8,5,Henry,Republican,2
8,6,Eli,Democrat,9
8,6,Henry,Republican,3
8,7,Eli,Democrat,9
8,7,Henry,Republican,4
8,8,Eli,Democrat,10
8,8,Henry,Republican,5
8,9,Eli,Democrat,10
8,9,Henry,Republican,5
8,10,Eli,Democrat,10
8,10,Henry,Republican,4
8,11,Eli,Democrat,9
8,11,Henry,Republican,6
8,12,Eli,Democrat,10
8,12,Henry,Republican,6
8,13,Eli,Democrat,10
8,13,Henry,Republican,6
8,14,Eli,Democrat,10
8,14,Henry,Republican,5
8,15,Eli,Democrat,10
8,15,Henry,Republican,6
8,16,Eli,Democrat,10
8,16,Henry,Republican,6
8,17,Eli,Democrat,9
8,17,Henry,Republican,5
8,18,Eli,Democrat,9
8,18,Henry,Republican,5
8,19,Eli,Democrat,10
8,19,Henry,Republican,4
8,20,Eli,Democrat,10
8,20,Henry,Republican,6
8,21,Eli,Democrat,10
8,21,Henry,Republican,4
8,22,Eli,Democrat,8
8,22,Henry,Republican,2
8,23,Eli,Democrat,10
8,23,Henry,Republican,5
8,24,Eli,Democrat,10
8,24,Henry,Republican,5
8,25,Eli,Democrat,10
8,25,Henry,Republican,5
8,26,Eli,Democrat,10
8,26,Henry,Republican,5
8,27,Eli,Democrat,10
8,27,Henry,Republican,6
8,28,Eli,Democrat,10
8,28,Henry,Republican,6
8,29,Eli,Democrat,10
8,29,Henry,Republican,3
8,30,Eli,Democrat,10
8,30,Henry,Republican,6
9,0,James,Democrat,9
9,0,Brooklyn,Republican,0
9,1,James,Democrat,9
9,1,Brooklyn,Republican,2
9,2,James,Democrat,8
9,2,Brooklyn,Republican,2
9,3,James,Democrat,8
9,3,Brooklyn,Republican,2
9,4,James,Democrat,8
9,4,Brooklyn,Republican,2
9,5,James,Democrat,8
9,5,Brooklyn,Republican,3
9,6,James,Democrat,9
9,6,Brooklyn,Republican,4
9,7,James,Democrat,10
9,7,Brooklyn,Republican,4
9,8,James,Democrat,10
9,8,Brooklyn,Republican,3
9,9,James,Democrat,9
9,9,Brooklyn,Republican,2
9,10,James,Democrat,10
9,10,Brooklyn,Republican,5
9,11,James,Democrat,8
9,11,Brooklyn,Republican,4
9,12,James,Democrat,9
9,12,Brooklyn,Republican,2
9,13,James,Democrat,9
9,13,Brooklyn,Republican,2
9,14,James,Democrat,10
9,14,Brooklyn,Republican,4
9,15,James,Democrat,8
9,15,Brooklyn,Republican,3
9,16,James,Democrat,9
9,16,Brooklyn,Republican,2
9,17,James,Democrat,8
9,17,Brooklyn,Republican,5
9,18,James,Democrat,9
9,18,Brooklyn,Republican,5
9,19,James,Democrat,9
9,19,Brooklyn,Republican,6
9,20,James,Democrat,9
9,20,Brooklyn,Republican,6
9,21,James,Democrat,8
9,21,Brooklyn,Republican,3
9,22,James,Democrat,10
9,22,Brooklyn,Republican,4
9,23,James,Democrat,9
9,23,Brooklyn,Republican,4
9,24,James,Democrat,9
9,24,Brooklyn,Republican,4
9,25,James,Democrat,10
9,25,Brooklyn,Republican,2
9,26,James,Democrat,9
9,26,Brooklyn,Republican,5
9,27,James,Democrat,9
9,27,Brooklyn,Republican,2
9,28,James,Democrat,9
9,28,Brooklyn,Republican,3
9,29,James,Democrat,10
9,29,Brooklyn,Republican,4
9,30,James,Democrat,8
9,30,Brooklyn,Republican,5
10,0,Layla,Democrat,10
10,0,Abigail,Republican,2
10,1,Layla,Democrat,10
10,1,Abigail,Republican,6
10,2,Layla,Democrat,9
10,2,Abigail,Republican,5
10,3,Layla,Democrat,10
10,3,Abigail,Republican,3
10,4,Layla,Democrat,10
10,4,Abigail,Republican,0
10,5,Layla,Democrat,10
10,5,Abigail,Republican,2
10,6,Layla,Democrat,10
10,6,Abigail,Republican,2
10,7,Layla,Democrat,10
10,7,Abigail,Republican,2
10,8,Layla,Democrat,9
10,8,Abigail,Republican,1
10,9,Layla,Democrat,9
10,9,Abigail,Republican,1
10,10,Layla,Democrat,8
10,10,Abigail,Republican,1
10,11,Layla,Democrat,10
10,11,Abigail,Republican,0
10,12,Layla,Democrat,9
10,12,Abigail,Republican,1
10,13,Layla,Democrat,10
10,13,Abigail,Republican,0
10,14,Layla,Democrat,9
10,14,Abigail,Republican,1
10,15,Layla,Democrat,10
10,15,Abigail,Republican,3
10,16,Layla,Democrat,9
10,16,Abigail,Republican,1
10,17,Layla,Democrat,9
10,17,Abigail,Republican,1
10,18,Layla,Democrat,10
10,18,Abigail,Republican,1
10,19,Layla,Democrat,10
10,19,Abigail,Republican,0
10,20,Layla,Democrat,10
10,20,Abigail,Republican,0
10,21,Layla,Democrat,10
10,21,Abigail,Republican,2
10,22,Layla,Democrat,10
10,22,Abigail,Republican,2
10,23,Layla,Democrat,10
10,23,Abigail,Republican,1
10,24,Layla,Democrat,10
10,24,Abigail,Republican,0
10,25,Layla,Democrat,10
10,25,Abigail,Republican,0
10,26,Layla,Democrat,10
10,26,Abigail,Republican,2
10,27,Layla,Democrat,10
10,27,Abigail,Republican,0
10,28,Layla,Democrat,9
10,28,Abigail,Republican,2
10,29,Layla,Democrat,9
10,29,Abigail,Republican,1
10,30,Layla,Democrat,9
10,30,Abigail,Republican,0
11,0,Piper,Democrat,8
11,0,Aurora,Republican,0
11,1,Piper,Democrat,9
11,1,Aurora,Republican,2
11,2,Piper,Democrat,9
11,2,Aurora,Republican,3
11,3,Piper,Democrat,9
11,3,Aurora,Republican,2
11,4,Piper,Democrat,10
11,4,Aurora,Republican,2
11,5,Piper,Democrat,10
11,5,Aurora,Republican,1
11,6,Piper,Democrat,10
11,6,Aurora,Republican,3
11,7,Piper,Democrat,9
11,7,Aurora,Republican,1
11,8,Piper,Democrat,10
11,8,Aurora,Republican,2
11,9,Piper,Democrat,9
11,9,Aurora,Republican,3
11,10,Piper,Democrat,10
11,10,Aurora,Republican,6
11,11,Piper,Democrat,9
11,11,Aurora,Republican,2
11,12,Piper,Democrat,10
11,12,Aurora,Republican,4
11,13,Piper,Democrat,9
11,13,Aurora,Republican,2
11,14,Piper,Democrat,9
11,14,Aurora,Republican,2
11,15,Piper,Democrat,10
11,15,Aurora,Republican,4
11,16,Piper,Democrat,10
11,16,Aurora,Republican,3
11,17,Piper,Democrat,9
11,17,Aurora,Republican,0
11,18,Piper,Democrat,10
11,18,Aurora,Republican,5
11,19,Piper,Democrat,9
11,19,Aurora,Republican,3
11,20,Piper,Democrat,9
11,20,Aurora,Republican,6
11,21,Piper,Democrat,9
11,21,Aurora,Republican,4
11,22,Piper,Democrat,10
11,22,Aurora,Republican,2
11,23,Piper,Democrat,8
11,23,Aurora,Republican,2
11,24,Piper,Democrat,10
11,24,Aurora,Republican,2
11,25,Piper,Democrat,8
11,25,Aurora,Republican,1
11,26,Piper,Democrat,8
11,26,Aurora,Republican,3
11,27,Piper,Democrat,9
11,27,Aurora,Republican,0
11,28,Piper,Democrat,9
11,28,Aurora,Republican,2
11,29,Piper,Democrat,9
11,29,Aurora,Republican,1
11,30,Piper,Democrat,9
11,30,Aurora,Republican,1
12,0,Bella,Democrat,9
12,0,Riley,Republican,6
12,1,Bella,Democrat,8
12,1,Riley,Republican,2
12,2,Bella,Democrat,8
12,2,Riley,Republican,6
12,3,Bella,Democrat,8
12,3,Riley,Republican,5
12,4,Bella,Democrat,8
12,4,Riley,Republican,2
12,5,Bella,Democrat,9
12,5,Riley,Republican,3
12,6,Bella,Democrat,8
12,6,Riley,Republican,5
12,7,Bella,Democrat,9
12,7,Riley,Republican,3
12,8,Bella,Democrat,9
12,8,Riley,Republican,2
12,9,Bella,Democrat,9
12,9,Riley,Republican,5
12,10,Bella,Democrat,10
12,10,Riley,Republican,5
12,11,Bella,Democrat,9
12,11,Riley,Republican,3
12,12,Bella,Democrat,10
12,12,Riley,Republican,2
12,13,Bella,Democrat,9
12,13,Riley,Republican,2
12,14,Bella,Democrat,9
12,14,Riley,Republican,4
12,15,Bella,Democrat,10
12,15,Riley,Republican,2
12,16,Bella,Democrat,9
12,16,Riley,Republican,2
12,17,Bella,Democrat,9
12,17,Riley,Republican,3
12,18,Bella,Democrat,10
12,18,Riley,Republican,3
12,19,Bella,Democrat,10
12,19,Riley,Republican,3
12,20,Bella,Democrat,10
12,20,Riley,Republican,6
12,21,Bella,Democrat,9
12,21,Riley,Republican,5
12,22,Bella,Democrat,9
12,22,Riley,Republican,5
12,23,Bella,Democrat,10
12,23,Riley,Republican,3
12,24,Bella,Democrat,8
12,24,Riley,Republican,3
12,25,Bella,Democrat,10
12,25,Riley,Republican,2
12,26,Bella,Democrat,8
12,26,Riley,Republican,3
12,27,Bella,Democrat,9
12,27,Riley,Republican,5
12,28,Bella,Democrat,10
12,28,Riley,Republican,4
12,29,Bella,Democrat,9
12,29,Riley,Republican,2
12,30,Bella,Democrat,8
12,30,Riley,Republican,2
13,0,Sophia,Democrat,8
13,0,Ava,Republican,6
13,1,Sophia,Democrat,8
13,1,Ava,Republican,2
13,2,Sophia,Democrat,8
13,2,Ava,Republican,5
13,3,Sophia,Democrat,8
13,3,Ava,Republican,5
13,4,Sophia,Democrat,8
13,4,Ava,Republican,2
13,5,Sophia,Democrat,8
13,5,Ava,Republican,2
13,6,Sophia,Democrat,9
13,6,Ava,Republican,5
13,7,Sophia,Democrat,10
13,7,Ava,Republican,3
13,8,Sophia,Democrat,8
13,8,Ava,Republican,3
13,9,Sophia,Democrat,9
13,9,Ava,Republican,4
13,10,Sophia,Democrat,9
13,10,Ava,Republican,0
13,11,Sophia,Democrat,9
13,11,Ava,Republican,2
13,12,Sophia,Democrat,9
13,12,Ava,Republican,5
13,13,Sophia,Democrat,9
13,13,Ava,Republican,2
13,14,Sophia,Democrat,9
13,14,Ava,Republican,2
13,15,Sophia,Democrat,8
13,15,Ava,Republican,2
13,16,Sophia,Democrat,9
13,16,Ava,Republican,2
13,17,Sophia,Democrat,9
13,17,Ava,Republican,3
13,18,Sophia,Democrat,8
13,18,Ava,Republican,2
13,19,Sophia,Democrat,10
13,19,Ava,Republican,2
13,20,Sophia,Democrat,9
13,20,Ava,Republican,1
13,21,Sophia,Democrat,9
13,21,Ava,Republican,2
13,22,Sophia,Democrat,9
13,22,Ava,Republican,2
13,23,Sophia,Democrat,10
13,23,Ava,Republican,5
13,24,Sophia,Democrat,10
13,24,Ava,Republican,2
13,25,Sophia,Democrat,9
13,25,Ava,Republican,2
13,26,Sophia,Democrat,8
13,26,Ava,Republican,3
13,27,Sophia,Democrat,9
13,27,Ava,Republican,2
13,28,Sophia,Democrat,9
13,28,Ava,Republican,3
13,29,Sophia,Democrat,9
13,29,Ava,Republican,3
13,30,Sophia,Democrat,9
13,30,Ava,Republican,0
14,0,Nathan,Democrat,8
14,0,Parker,Republican,2
14,1,Nathan,Democrat,10
14,1,Parker,Republican,2
14,2,Nathan,Democrat,9
14,2,Parker,Republican,2
14,3,Nathan,Democrat,9
14,3,Parker,Republican,3
14,4,Nathan,Democrat,8
14,4,Parker,Republican,2
14,5,Nathan,Democrat,9
14,5,Parker,Republican,2
14,6,Nathan,Democrat,10
14,6,Parker,Republican,5
14,7,Nathan,Democrat,9
14,7,Parker,Republican,2
14,8,Nathan,Democrat,9
14,8,Parker,Republican,1
14,9,Nathan,Democrat,9
14,9,Parker,Republican,5
14,10,Nathan,Democrat,10
14,10,Parker,Republican,2
14,11,Nathan,Democrat,9
14,11,Parker,Republican,5
14,12,Nathan,Democrat,10
14,12,Parker,Republican,1
14,13,Nathan,Democrat,8
14,13,Parker,Republican,2
14,14,Nathan,Democrat,9
14,14,Parker,Republican,2
14,15,Nathan,Democrat,10
14,15,Parker,Republican,3
14,16,Nathan,Democrat,10
14,16,Parker,Republican,2
14,17,Nathan,Democrat,9
14,17,Parker,Republican,2
14,18,Nathan,Democrat,10
14,18,Parker,Republican,1
14,19,Nathan,Democrat,9
14,19,Parker,Republican,2
14,20,Nathan,Democrat,9
14,20,Parker,Republican,2
14,21,Nathan,Democrat,8
14,21,Parker,Republican,5
14,22,Nathan,Democrat,10
14,22,Parker,Republican,1
14,23,Nathan,Democrat,9
14,23,Parker,Republican,2
14,24,Nathan,Democrat,8
14,24,Parker,Republican,2
14,25,Nathan,Democrat,10
14,25,Parker,Republican,3
14,26,Nathan,Democrat,9
14,26,Parker,Republican,2
