Session,Round,Agent Name,Party,Response
1,0,Reagan,Democrat,9
1,0,Alexander,Democrat,10
1,0,Paislee,Republican,7
1,0,Hazel,Republican,1
1,1,Reagan,Democrat,9
1,1,Alexander,Democrat,9
1,1,Paislee,Republican,2
1,1,Hazel,Republican,1
1,2,Reagan,Democrat,9
1,2,Alexander,Democrat,9
1,2,Paislee,Republican,2
1,2,Hazel,Republican,1
2,0,Mason,Democrat,10
2,0,Scarlett,Democrat,10
2,0,Claire,Republican,1
2,0,Leah,Republican,1
2,1,Mason,Democrat,8
2,1,Scarlett,Democrat,9
2,1,Claire,Republican,4
2,1,Leah,Republican,2
2,2,Mason,Democrat,9
2,2,Scarlett,Democrat,8
2,2,Claire,Republican,2
2,2,Leah,Republican,3
3,0,Ryan,Democrat,10
3,0,Lily,Democrat,10
3,0,Hannah,Republican,0
3,0,David,Republican,2
3,1,Ryan,Democrat,9
3,1,Lily,Democrat,10
3,1,Hannah,Republican,6
3,1,David,Republican,1
3,2,Ryan,Democrat,10
3,2,Lily,Democrat,10
3,2,Hannah,Republican,0
3,2,David,Republican,5
4,0,Sebastian,Democrat,9
4,0,Wyatt,Democrat,10
4,0,Mila,Republican,2
4,0,Jackson,Republican,2
4,1,Sebastian,Democrat,8
4,1,Wyatt,Democrat,10
4,1,Mila,Republican,2
4,1,Jackson,Republican,5
4,2,Sebastian,Democrat,10
4,2,Wyatt,Democrat,8
4,2,Mila,Republican,6
4,2,Jackson,Republican,5
5,0,Jaxon,Democrat,10
5,0,Henry,Democrat,11
5,0,Penelope,Republican,2
5,0,Mia,Republican,3
5,1,Jaxon,Democrat,9
5,1,Henry,Democrat,10
5,1,Penelope,Republican,0
5,1,Mia,Republican,2
5,2,Jaxon,Democrat,8
5,2,Henry,Democrat,10
5,2,Penelope,Republican,3
5,2,Mia,Republican,0
6,0,Lillian,Democrat,10
6,0,Elijah,Democrat,9
6,0,Parker,Republican,2
6,0,Julian,Republican,2
6,1,Lillian,Democrat,9
6,1,Elijah,Democrat,9
6,1,Parker,Republican,5
6,1,Julian,Republican,4
6,2,Lillian,Democrat,8
6,2,Elijah,Democrat,8
6,2,Parker,Republican,2
6,2,Julian,Republican,4
7,0,Nolan,Democrat,10
7,0,Owen,Democrat,10
7,0,Audrey,Republican,0
7,0,Hunter,Republican,1
7,1,Nolan,Democrat,9
7,1,Owen,Democrat,10
7,1,Audrey,Republican,-1
7,1,Hunter,Republican,0
7,2,Nolan,Democrat,8
7,2,Owen,Democrat,9
7,2,Audrey,Republican,0
7,2,Hunter,Republican,1
8,0,Joseph,Democrat,10
8,0,Carter,Democrat,10
8,0,Ava,Republican,2
8,0,Grace,Republican,2
8,1,Joseph,Democrat,9
8,1,Carter,Democrat,8
8,1,Ava,Republican,3
8,1,Grace,Republican,4
8,2,Joseph,Democrat,8
8,2,Carter,Democrat,9
8,2,Ava,Republican,4
8,2,Grace,Republican,0
9,0,Anthony,Democrat,10
9,0,Nathan,Democrat,9
9,0,Emery,Republican,2
9,0,Ethan,Republican,0
9,1,Anthony,Democrat,9
9,1,Nathan,Democrat,10
9,1,Emery,Republican,2
9,1,Ethan,Republican,1
9,2,Anthony,Democrat,10
9,2,Nathan,Democrat,10
9,2,Emery,Republican,2
9,2,Ethan,Republican,2
10,0,Asher,Democrat,10
10,0,Ezra,Democrat,10
10,0,Natalie,Republican,2
10,0,Isaiah,Republican,0
10,1,Asher,Democrat,8
10,1,Ezra,Democrat,9
10,1,Natalie,Republican,3
10,1,Isaiah,Republican,5
10,2,Asher,Democrat,9
10,2,Ezra,Democrat,9
10,2,Natalie,Republican,2
10,2,Isaiah,Republican,3
