Session,Round,Agent Name,Party,Response
1,0,Madelyn,Democrat,10
1,0,Penelope,Republican,1
1,1,Madelyn,Democrat,10
1,1,Penelope,Republican,2
1,2,Madelyn,Democrat,10
1,2,Penelope,Republican,2
1,3,Madelyn,Democrat,10
1,3,Penelope,Republican,3
1,4,Madelyn,Democrat,10
1,4,Penelope,Republican,1
1,5,Madelyn,Democrat,10
1,5,Penelope,Republican,1
1,6,Madelyn,Democrat,10
1,6,Penelope,Republican,0
1,7,Madelyn,Democrat,10
1,7,Penelope,Republican,2
1,8,Madelyn,Democrat,10
1,8,Penelope,Republican,1
1,9,Madelyn,Democrat,10
1,9,Penelope,Republican,4
1,10,Madelyn,Democrat,10
1,10,Penelope,Republican,2
1,11,Madelyn,Democrat,10
1,11,Penelope,Republican,2
1,12,Madelyn,Democrat,10
1,12,Penelope,Republican,4
1,13,Madelyn,Democrat,10
1,13,Penelope,Republican,1
1,14,Madelyn,Democrat,10
1,14,Penelope,Republican,3
1,15,Madelyn,Democrat,10
1,15,Penelope,Republican,3
1,16,Madelyn,Democrat,10
1,16,Penelope,Republican,5
1,17,Madelyn,Democrat,10
1,17,Penelope,Republican,2
1,18,Madelyn,Democrat,10
1,18,Penelope,Republican,1
1,19,Madelyn,Democrat,10
1,19,Penelope,Republican,2
1,20,Madelyn,Democrat,10
1,20,Penelope,Republican,4
1,21,Madelyn,Democrat,10
1,21,Penelope,Republican,2
1,22,Madelyn,Democrat,10
1,22,Penelope,Republican,2
1,23,Madelyn,Democrat,10
1,23,Penelope,Republican,2
1,24,Madelyn,Democrat,10
1,24,Penelope,Republican,2
1,25,Madelyn,Democrat,10
1,25,Penelope,Republican,3
1,26,Madelyn,Democrat,10
1,26,Penelope,Republican,2
1,27,Madelyn,Democrat,10
1,27,Penelope,Republican,2
1,28,Madelyn,Democrat,10
1,28,Penelope,Republican,1
1,29,Madelyn,Democrat,9
1,29,Penelope,Republican,3
1,30,Madelyn,Democrat,10
1,30,Penelope,Republican,2
2,0,Audrey,Democrat,10
2,0,Scarlett,Republican,2
2,1,Audrey,Democrat,10
2,1,Scarlett,Republican,1
2,2,Audrey,Democrat,10
2,2,Scarlett,Republican,1
2,3,Audrey,Democrat,10
2,3,Scarlett,Republican,2
2,4,Audrey,Democrat,9
2,4,Scarlett,Republican,3
2,5,Audrey,Democrat,10
2,5,Scarlett,Republican,1
2,6,Audrey,Democrat,10
2,6,Scarlett,Republican,2
2,7,Audrey,Democrat,10
2,7,Scarlett,Republican,5
2,8,Audrey,Democrat,10
2,8,Scarlett,Republican,1
2,9,Audrey,Democrat,10
2,9,Scarlett,Republican,1
2,10,Audrey,Democrat,10
2,10,Scarlett,Republican,2
2,11,Audrey,Democrat,10
2,11,Scarlett,Republican,2
2,12,Audrey,Democrat,10
2,12,Scarlett,Republican,2
2,13,Audrey,Democrat,10
2,13,Scarlett,Republican,2
2,14,Audrey,Democrat,10
2,14,Scarlett,Republican,2
2,15,Audrey,Democrat,10
2,15,Scarlett,Republican,1
2,16,Audrey,Democrat,10
2,16,Scarlett,Republican,0
2,17,Audrey,Democrat,10
2,17,Scarlett,Republican,2
2,18,Audrey,Democrat,10
2,18,Scarlett,Republican,2
2,19,Audrey,Democrat,10
2,19,Scarlett,Republican,2
2,20,Audrey,Democrat,10
2,20,Scarlett,Republican,1
2,21,Audrey,Democrat,10
2,21,Scarlett,Republican,2
2,22,Audrey,Democrat,10
2,22,Scarlett,Republican,1
2,23,Audrey,Democrat,10
2,23,Scarlett,Republican,2
2,24,Audrey,Democrat,10
2,24,Scarlett,Republican,3
2,25,Audrey,Democrat,10
2,25,Scarlett,Republican,5
2,26,Audrey,Democrat,10
2,26,Scarlett,Republican,1
2,27,Audrey,Democrat,10
2,27,Scarlett,Republican,1
2,28,Audrey,Democrat,10
2,28,Scarlett,Republican,2
2,29,Audrey,Democrat,10
2,29,Scarlett,Republican,2
2,30,Audrey,Democrat,10
2,30,Scarlett,Republican,2
3,0,Eli,Democrat,10
3,0,Isaiah,Republican,2
3,1,Eli,Democrat,9
3,1,Isaiah,Republican,2
3,2,Eli,Democrat,10
3,2,Isaiah,Republican,3
3,3,Eli,Democrat,9
3,3,Isaiah,Republican,2
3,4,Eli,Democrat,10
3,4,Isaiah,Republican,3
3,5,Eli,Democrat,10
3,5,Isaiah,Republican,3
3,6,Eli,Democrat,10
3,6,Isaiah,Republican,2
3,7,Eli,Democrat,10
3,7,Isaiah,Republican,4
3,8,Eli,Democrat,10
3,8,Isaiah,Republican,4
3,9,Eli,Democrat,10
3,9,Isaiah,Republican,1
3,10,Eli,Democrat,9
3,10,Isaiah,Republican,0
3,11,Eli,Democrat,10
3,11,Isaiah,Republican,2
3,12,Eli,Democrat,10
3,12,Isaiah,Republican,1
3,13,Eli,Democrat,10
3,13,Isaiah,Republican,2
3,14,Eli,Democrat,10
3,14,Isaiah,Republican,2
3,15,Eli,Democrat,10
3,15,Isaiah,Republican,2
3,16,Eli,Democrat,10
3,16,Isaiah,Republican,2
3,17,Eli,Democrat,10
3,17,Isaiah,Republican,2
3,18,Eli,Democrat,10
3,18,Isaiah,Republican,2
3,19,Eli,Democrat,10
3,19,Isaiah,Republican,2
3,20,Eli,Democrat,10
3,20,Isaiah,Republican,2
3,21,Eli,Democrat,10
3,21,Isaiah,Republican,2
3,22,Eli,Democrat,10
3,22,Isaiah,Republican,3
3,23,Eli,Democrat,10
3,23,Isaiah,Republican,2
3,24,Eli,Democrat,10
3,24,Isaiah,Republican,0
3,25,Eli,Democrat,10
3,25,Isaiah,Republican,2
3,26,Eli,Democrat,10
3,26,Isaiah,Republican,6
3,27,Eli,Democrat,10
3,27,Isaiah,Republican,5
3,28,Eli,Democrat,10
3,28,Isaiah,Republican,1
3,29,Eli,Democrat,10
3,29,Isaiah,Republican,2
3,30,Eli,Democrat,10
3,30,Isaiah,Republican,5
4,0,Jaxon,Democrat,10
4,0,Isaac,Republican,2
4,1,Jaxon,Democrat,10
4,1,Isaac,Republican,5
4,2,Jaxon,Democrat,10
4,2,Isaac,Republican,4
4,3,Jaxon,Democrat,10
4,3,Isaac,Republican,2
4,4,Jaxon,Democrat,10
4,4,Isaac,Republican,5
4,5,Jaxon,Democrat,10
4,5,Isaac,Republican,1
4,6,Jaxon,Democrat,10
4,6,Isaac,Republican,2
4,7,Jaxon,Democrat,10
4,7,Isaac,Republican,2
4,8,Jaxon,Democrat,10
4,8,Isaac,Republican,3
4,9,Jaxon,Democrat,10
4,9,Isaac,Republican,1
4,10,Jaxon,Democrat,10
4,10,Isaac,Republican,0
4,11,Jaxon,Democrat,10
4,11,Isaac,Republican,3
4,12,Jaxon,Democrat,10
4,12,Isaac,Republican,5
4,13,Jaxon,Democrat,10
4,13,Isaac,Republican,5
4,14,Jaxon,Democrat,10
4,14,Isaac,Republican,2
4,15,Jaxon,Democrat,10
4,15,Isaac,Republican,2
4,16,Jaxon,Democrat,10
4,16,Isaac,Republican,1
4,17,Jaxon,Democrat,10
4,17,Isaac,Republican,3
4,18,Jaxon,Democrat,10
4,18,Isaac,Republican,6
4,19,Jaxon,Democrat,9
4,19,Isaac,Republican,4
4,20,Jaxon,Democrat,10
4,20,Isaac,Republican,2
4,21,Jaxon,Democrat,10
4,21,Isaac,Republican,2
4,22,Jaxon,Democrat,10
4,22,Isaac,Republican,2
4,23,Jaxon,Democrat,10
4,23,Isaac,Republican,2
4,24,Jaxon,Democrat,10
4,24,Isaac,Republican,2
4,25,Jaxon,Democrat,10
4,25,Isaac,Republican,2
4,26,Jaxon,Democrat,10
4,26,Isaac,Republican,2
4,27,Jaxon,Democrat,10
4,27,Isaac,Republican,3
4,28,Jaxon,Democrat,9
4,28,Isaac,Republican,2
4,29,Jaxon,Democrat,10
4,29,Isaac,Republican,1
4,30,Jaxon,Democrat,10
4,30,Isaac,Republican,2
5,0,Leah,Democrat,10
5,0,Hannah,Republican,2
5,1,Leah,Democrat,9
5,1,Hannah,Republican,0
5,2,Leah,Democrat,10
5,2,Hannah,Republican,1
5,3,Leah,Democrat,10
5,3,Hannah,Republican,0
5,4,Leah,Democrat,10
5,4,Hannah,Republican,2
5,5,Leah,Democrat,10
5,5,Hannah,Republican,0
5,6,Leah,Democrat,10
5,6,Hannah,Republican,0
5,7,Leah,Democrat,10
5,7,Hannah,Republican,0
5,8,Leah,Democrat,10
5,8,Hannah,Republican,0
5,9,Leah,Democrat,10
5,9,Hannah,Republican,0
5,10,Leah,Democrat,10
5,10,Hannah,Republican,0
5,11,Leah,Democrat,10
5,11,Hannah,Republican,0
5,12,Leah,Democrat,10
5,12,Hannah,Republican,0
5,13,Leah,Democrat,10
5,13,Hannah,Republican,0
5,14,Leah,Democrat,10
5,14,Hannah,Republican,0
5,15,Leah,Democrat,10
5,15,Hannah,Republican,0
