Session,Round,Agent Name,Party,Response
1,0,Ivy,Democrat,9
1,0,Layla,Democrat,10
1,1,Ivy,Democrat,10
1,1,Layla,Democrat,10
1,2,Ivy,Democrat,10
1,2,Layla,Democrat,10
1,3,Ivy,Democrat,9
1,3,Layla,Democrat,10
1,4,Ivy,Democrat,10
1,4,Layla,Democrat,10
1,5,Ivy,Democrat,10
1,5,Layla,Democrat,10
1,6,Ivy,Democrat,10
1,6,Layla,Democrat,10
1,7,Ivy,Democrat,10
1,7,Layla,Democrat,10
1,8,Ivy,Democrat,9
1,8,Layla,Democrat,10
1,9,Ivy,Democrat,10
1,9,Layla,Democrat,10
1,10,Ivy,Democrat,10
1,10,Layla,Democrat,6
1,11,Ivy,Democrat,10
1,11,Layla,Democrat,10
1,12,Ivy,Democrat,10
1,12,Layla,Democrat,10
1,13,Ivy,Democrat,10
1,13,Layla,Democrat,10
1,14,Ivy,Democrat,10
1,14,Layla,Democrat,10
1,15,Ivy,Democrat,8
1,15,Layla,Democrat,10
1,16,Ivy,Democrat,10
1,16,Layla,Democrat,10
1,17,Ivy,Democrat,10
1,17,Layla,Democrat,10
1,18,Ivy,Democrat,10
1,18,Layla,Democrat,10
1,19,Ivy,Democrat,10
1,19,Layla,Democrat,9
1,20,Ivy,Democrat,10
1,20,Layla,Democrat,9
1,21,Ivy,Democrat,10
1,21,Layla,Democrat,10
1,22,Ivy,Democrat,10
1,22,Layla,Democrat,10
1,23,Ivy,Democrat,10
1,23,Layla,Democrat,10
1,24,Ivy,Democrat,10
1,24,Layla,Democrat,10
1,25,Ivy,Democrat,9
1,25,Layla,Democrat,10
1,26,Ivy,Democrat,10
1,26,Layla,Democrat,10
1,27,Ivy,Democrat,10
1,27,Layla,Democrat,10
1,28,Ivy,Democrat,8
1,28,Layla,Democrat,10
1,29,Ivy,Democrat,9
1,29,Layla,Democrat,10
1,30,Ivy,Democrat,10
1,30,Layla,Democrat,10
2,0,Harper,Democrat,9
2,0,David,Democrat,9
2,1,Harper,Democrat,8
2,1,David,Democrat,10
2,2,Harper,Democrat,10
2,2,David,Democrat,9
2,3,Harper,Democrat,10
2,3,David,Democrat,9
2,4,Harper,Democrat,8
2,4,David,Democrat,10
2,5,Harper,Democrat,9
2,5,David,Democrat,9
2,6,Harper,Democrat,10
2,6,David,Democrat,10
2,7,Harper,Democrat,9
2,7,David,Democrat,10
2,8,Harper,Democrat,10
2,8,David,Democrat,10
2,9,Harper,Democrat,6
2,9,David,Democrat,10
2,10,Harper,Democrat,10
2,10,David,Democrat,10
2,11,Harper,Democrat,10
2,11,David,Democrat,10
2,12,Harper,Democrat,10
2,12,David,Democrat,10
2,13,Harper,Democrat,10
2,13,David,Democrat,10
2,14,Harper,Democrat,10
2,14,David,Democrat,9
2,15,Harper,Democrat,10
2,15,David,Democrat,10
2,16,Harper,Democrat,10
2,16,David,Democrat,10
2,17,Harper,Democrat,10
2,17,David,Democrat,10
2,18,Harper,Democrat,10
2,18,David,Democrat,10
2,19,Harper,Democrat,10
2,19,David,Democrat,10
2,20,Harper,Democrat,10
2,20,David,Democrat,9
2,21,Harper,Democrat,10
2,21,David,Democrat,10
2,22,Harper,Democrat,10
2,22,David,Democrat,10
2,23,Harper,Democrat,9
2,23,David,Democrat,10
2,24,Harper,Democrat,8
2,24,David,Democrat,10
2,25,Harper,Democrat,10
2,25,David,Democrat,10
2,26,Harper,Democrat,10
2,26,David,Democrat,10
2,27,Harper,Democrat,10
2,27,David,Democrat,10
2,28,Harper,Democrat,10
2,28,David,Democrat,10
2,29,Harper,Democrat,10
2,29,David,Democrat,10
2,30,Harper,Democrat,10
2,30,David,Democrat,10
